year,game_code,a_team_name,a_name_conference,a_team_code,a_result,a_points,b_team_code,team_name,name_conference,b_result,b_points,half_leader,a_rush,b_rush,a_offense_rush_yards,b_defense_rush_yards,a_defense_rush_yards,b_offense_rush_yards,a_offense_pass_yards,b_defense_pass_yards,a_defense_pass_yards,b_offense_pass_yards,a_pass,b_pass,a_incomplete_pass,b_incomplete_pass,a_penalty,b_penalty,a_penalty_yards,b_penalty_yards,half_diff_score,half_diff_score_abs,hometeam,b_home,visit_date,stadium_code,stadium_name,site,city,state,capacity,surface,surfaceint,year_opened
2010,4.63E+14,Texas A&M                                         ,Southeastern Conference                                                    ,697,1,3,463,Nebraska                                          ,Big Ten Conference                                                         ,0,3,TIED      ,15,20,44,44,55,55,59,59,92,92,14,16,7,7,8,1,88,5,0,0,B,1,10/11/2008,129,Jones SBC Stadium                                                          ,TEAM           ,Lubbock                                                                    ,TX,50000,FieldTurf                ,0,1947
2009,4.63E+14,Nebraska                                          ,Big Ten Conference                                                         ,463,0,12,742,Virginia Tech                                     ,Atlantic Coast Conference                                                  ,1,10,ATEAM     ,12,21,83,83,69,69,82,82,65,65,12,12,6,6,5,2,35,5,2,2,B,1,9/19/2009,136,Lane Stadium                                                               ,TEAM           ,Blacksburg                                                                 ,VA,66233,Grass                    ,1,1965
2010,4.63E+14,Nebraska                                          ,Big Ten Conference                                                         ,463,1,28,756,Washington                                        ,Pac-12/Pac-10 Conference                                                   ,0,14,ATEAM     ,23,24,190,190,97,97,122,122,41,41,8,10,3,7,1,3,10,24,14,14,B,1,9/18/2010,139,Husky Stadium                                                              ,TEAM           ,Seattle                                                                    ,WA,72500,FieldTurf                ,0,1920
2010,4.63E+14,Washington                                        ,Pac-12/Pac-10 Conference                                                   ,756,1,10,463,Nebraska                                          ,Big Ten Conference                                                         ,0,7,ATEAM     ,23,26,100,100,108,108,19,19,22,22,10,7,9,1,4,2,30,15,3,3,A,0,12/30/2010,16,Qualcomm Stadium                                                           ,NEUTRAL        ,San Diego                                                                  ,CA,71294,Grass                    ,1,1967
2011,4.63E+14,Nebraska                                          ,Big Ten Conference                                                         ,463,0,14,796,Wisconsin                                         ,Big Ten Conference                                                         ,1,27,BTEAM     ,22,19,44,44,56,56,141,141,227,227,17,16,6,4,1,5,10,35,-13,13,B,1,10/1/2011,141,Camp Randall Stadium                                                       ,TEAM           ,Madison                                                                    ,WI,79500,FieldTurf                ,0,1917
2011,4.63E+14,Nebraska                                          ,Big Ten Conference                                                         ,463,1,14,811,Wyoming                                           ,Mountain West Conference                                                   ,0,7,ATEAM     ,14,20,107,107,79,79,92,92,88,88,15,15,7,7,3,3,24,26,7,7,B,1,9/24/2011,144,War Memorial Stadium                                                       ,TEAM           ,Laramie                                                                    ,WY,33500,FieldTurf                ,0,1950
2008,4.65E+14,UNLV                                              ,Mountain West Conference                                                   ,465,1,10,28,Arizona State                                     ,Pac-12/Pac-10 Conference                                                   ,0,10,TIED      ,13,20,15,15,68,68,72,72,230,230,13,16,4,4,3,3,25,20,0,0,B,1,9/13/2008,10,Sun Devil Stadium                                                          ,TEAM           ,Tempe                                                                      ,AZ,71706,Grass                    ,1,1958
2008,4.65E+14,UNLV                                              ,Mountain West Conference                                                   ,465,0,21,77,BYU                                               ,Independent                                                                ,1,21,TIED      ,16,17,35,35,84,84,163,163,109,109,14,16,3,5,4,1,20,6,0,0,B,1,10/25/2008,134,LaVell Edwards Stadium                                                     ,TEAM           ,Provo                                                                      ,UT,65000,Grass                    ,1,1964
2013,4.65E+14,UNLV                                              ,Mountain West Conference                                                   ,465,0,14,96,Fresno State                                      ,Mountain West Conference                                                   ,1,28,BTEAM     ,15,17,127,127,114,114,90,90,259,259,18,30,4,10,2,3,20,25,-14,14,B,1,10/19/2013,13,Bulldog Stadium                                                            ,TEAM           ,Fresno                                                                     ,CA,41000,Grass                    ,1,1980
2008,4.65E+14,Colorado State                                    ,Mountain West Conference                                                   ,156,1,17,465,UNLV                                              ,Mountain West Conference                                                   ,0,14,ATEAM     ,20,17,105,105,44,44,175,175,73,73,9,16,3,9,3,2,11,20,3,3,A,0,10/4/2008,23,Hughes Stadium                                                             ,TEAM           ,Fort Collins                                                               ,CO,30000,FieldTurf                ,0,1963
2012,4.65E+14,UNLV                                              ,Mountain West Conference                                                   ,465,0,17,366,Louisiana Tech                                    ,Conference USA                                                             ,1,27,BTEAM     ,23,20,-1,-1,97,97,206,206,236,236,19,32,9,8,2,1,20,15,-10,10,B,1,10/6/2012,59,Joe Aillet Stadium                                                         ,TEAM           ,Ruston                                                                     ,LA,30000,FieldTurf                ,0,1968
2013,4.65E+14,Minnesota                                         ,Big Ten Conference                                                         ,428,1,16,465,UNLV                                              ,Mountain West Conference                                                   ,0,13,ATEAM     ,20,16,105,105,48,48,35,35,128,128,15,26,7,9,1,0,15,0,3,3,A,0,8/29/2013,153,TCF Bank Stadium                                                           ,TEAM           ,Minneapolis                                                                ,MN,50805,FieldTurf                ,0,2009
2009,4.65E+14,Nevada                                            ,Mountain West Conference                                                   ,466,1,21,465,UNLV                                              ,Mountain West Conference                                                   ,0,21,TIED      ,26,15,163,163,18,18,64,64,156,156,8,25,2,11,5,6,60,49,0,0,A,0,10/3/2009,90,Mackay Stadium                                                             ,TEAM           ,Reno                                                                       ,NV,31000,FieldTurf                ,0,1966
2011,4.65E+14,UNLV                                              ,Mountain West Conference                                                   ,465,0,7,473,New Mexico                                        ,Mountain West Conference                                                   ,1,14,BTEAM     ,18,22,120,120,-20,-20,22,22,165,165,7,13,3,4,3,4,15,21,-7,7,B,1,10/24/2009,87,University Stadium                                                         ,TEAM           ,Albuquerque                                                                ,NM,40000,Grass                    ,1,1960
2013,4.65E+14,UNLV                                              ,Mountain West Conference                                                   ,465,1,14,466,Nevada                                            ,Mountain West Conference                                                   ,0,16,BTEAM     ,21,27,63,63,86,86,173,173,238,238,19,19,6,5,3,1,20,10,-2,2,B,1,11/12/2011,87,University Stadium                                                         ,TEAM           ,Albuquerque                                                                ,NM,40000,Grass                    ,1,1960
2013,4.65E+14,UNLV                                              ,Mountain West Conference                                                   ,465,1,35,473,New Mexico                                        ,Mountain West Conference                                                   ,0,35,TIED      ,13,36,105,105,385,385,205,205,73,73,15,10,4,6,2,0,10,0,0,0,B,1,9/28/2013,87,University Stadium                                                         ,TEAM           ,Albuquerque                                                                ,NM,40000,Grass                    ,1,1960
2013,4.65E+14,UNLV                                              ,Mountain West Conference                                                   ,465,0,7,497,North Texas                                       ,Conference USA                                                             ,1,7,TIED      ,15,18,58,58,46,46,131,131,93,93,24,14,9,5,4,0,40,0,0,0,B,1,1/1/2014,121,Cotton Bowl                                                                ,NEUTRAL        ,Dallas                                                                     ,TX,68252,Grass                    ,1,1932
2008,4.65E+14,San Diego State                                   ,Mountain West Conference                                                   ,626,1,14,465,UNLV                                              ,Mountain West Conference                                                   ,0,7,ATEAM     ,9,18,12,12,35,35,226,226,101,101,28,13,9,5,0,0,0,0,7,7,A,0,11/22/2008,16,Qualcomm Stadium                                                           ,TEAM           ,San Diego                                                                  ,CA,71294,Grass                    ,1,1967
2012,4.65E+14,UNLV                                              ,Mountain West Conference                                                   ,465,0,6,626,San Diego State                                   ,Mountain West Conference                                                   ,1,14,BTEAM     ,16,26,88,88,78,78,32,32,139,139,17,13,8,3,4,0,42,0,-8,8,B,1,10/27/2012,16,Qualcomm Stadium                                                           ,TEAM           ,San Diego                                                                  ,CA,71294,Grass                    ,1,1967
2011,4.65E+14,UNLV                                              ,Mountain West Conference                                                   ,465,0,10,721,Air Force                                         ,Mountain West Conference                                                   ,1,24,BTEAM     ,30,34,119,119,281,281,5,5,95,95,6,11,4,6,0,3,0,17,-14,14,B,1,11/19/2011,21,Falcon Stadium                                                             ,TEAM           ,Colorado Springs                                                           ,CO,46692,FieldTurf                ,0,1962
2008,4.65E+14,Utah                                              ,Pac-12/Pac-10 Conference                                                   ,732,1,14,465,UNLV                                              ,Mountain West Conference                                                   ,0,14,TIED      ,16,24,91,91,114,114,54,54,85,85,14,14,7,6,8,1,53,7,0,0,B,1,9/29/2012,133,Romney Stadium                                                             ,TEAM           ,Logan                                                                      ,UT,30257,SportsTurf               ,0,1968
2010,4.65E+14,Utah                                              ,Pac-12/Pac-10 Conference                                                   ,732,1,17,465,UNLV                                              ,Mountain West Conference                                                   ,0,3,ATEAM     ,14,20,32,32,47,47,90,90,105,105,9,16,3,6,3,2,15,15,14,14,A,0,9/6/2008,135,Rice Eccles Stadium                                                        ,TEAM           ,Salt Lake City                                                             ,UT,45017,FieldTurf                ,0,1927
2012,4.65E+14,Utah State                                        ,Mountain West Conference                                                   ,731,1,17,465,UNLV                                              ,Mountain West Conference                                                   ,0,7,ATEAM     ,15,17,45,45,52,52,238,238,82,82,25,19,8,8,3,4,40,60,10,10,B,1,9/11/2010,135,Rice Eccles Stadium                                                        ,TEAM           ,Salt Lake City                                                             ,UT,45017,FieldTurf                ,0,1927
2009,4.65E+14,Wyoming                                           ,Mountain West Conference                                                   ,811,1,13,465,UNLV                                              ,Mountain West Conference                                                   ,0,13,TIED      ,16,15,46,46,130,130,164,164,103,103,23,21,9,12,1,2,15,15,0,0,A,0,9/26/2009,144,War Memorial Stadium                                                       ,TEAM           ,Laramie                                                                    ,WY,33500,FieldTurf                ,0,1950
2011,4.65E+14,UNLV                                              ,Mountain West Conference                                                   ,465,0,14,811,Wyoming                                           ,Mountain West Conference                                                   ,1,20,BTEAM     ,31,16,101,101,103,103,73,73,77,77,9,12,4,7,1,3,5,31,-6,6,B,1,10/15/2011,144,War Memorial Stadium                                                       ,TEAM           ,Laramie                                                                    ,WY,33500,FieldTurf                ,0,1950
2012,4.66E+14,Arizona                                           ,Pac-12/Pac-10 Conference                                                   ,29,1,28,466,Nevada                                            ,Mountain West Conference                                                   ,0,28,TIED      ,23,40,153,153,239,239,139,139,116,116,19,20,8,5,2,2,15,10,0,0,A,0,12/15/2012,87,University Stadium                                                         ,NEUTRAL        ,Albuquerque                                                                ,NM,40000,Grass                    ,1,1960
2009,4.66E+14,Nevada                                            ,Mountain West Conference                                                   ,466,0,16,66,Boise State                                       ,Mountain West Conference                                                   ,1,27,BTEAM     ,26,11,136,136,35,35,79,79,174,174,9,19,2,9,2,2,25,20,-11,11,B,1,11/27/2009,42,Bronco Stadium                                                             ,TEAM           ,Boise                                                                      ,ID,37000,AstroPlay                ,0,1970
2010,4.66E+14,Boston College                                    ,Atlantic Coast Conference                                                  ,67,0,7,466,Nevada                                            ,Mountain West Conference                                                   ,1,17,BTEAM     ,11,20,48,48,89,89,19,19,150,150,9,19,5,5,1,2,15,11,-10,10,B,1,10/1/2011,42,Bronco Stadium                                                             ,TEAM           ,Boise                                                                      ,ID,37000,AstroPlay                ,0,1970
2013,4.66E+14,Boise State                                       ,Mountain West Conference                                                   ,66,1,7,466,Nevada                                            ,Mountain West Conference                                                   ,0,17,BTEAM     ,17,33,118,118,124,124,36,36,116,116,10,14,1,4,3,0,15,0,-10,10,B,1,1/9/2011,17,AT&T Park                                                                  ,NEUTRAL        ,San Francisco                                                              ,CA,37000,Grass                    ,1,2000
2010,4.66E+14,BYU                                               ,Independent                                                                ,77,0,10,466,Nevada                                            ,Mountain West Conference                                                   ,1,21,BTEAM     ,13,26,9,9,179,179,84,84,163,163,18,17,10,5,4,1,35,5,-11,11,A,0,9/25/2010,134,LaVell Edwards Stadium                                                     ,TEAM           ,Provo                                                                      ,UT,65000,Grass                    ,1,1964
2008,4.66E+14,Fresno State                                      ,Mountain West Conference                                                   ,96,0,7,466,Nevada                                            ,Mountain West Conference                                                   ,1,17,BTEAM     ,10,28,26,26,245,245,74,74,78,78,14,11,4,7,3,4,20,35,-10,10,A,0,11/7/2008,13,Bulldog Stadium                                                            ,TEAM           ,Fresno                                                                     ,CA,41000,Grass                    ,1,1980
2010,4.66E+14,Nevada                                            ,Mountain West Conference                                                   ,466,1,21,96,Fresno State                                      ,Mountain West Conference                                                   ,0,17,ATEAM     ,13,23,117,117,155,155,38,38,132,132,16,14,5,4,0,3,0,28,4,4,B,1,11/13/2010,13,Bulldog Stadium                                                            ,TEAM           ,Fresno                                                                     ,CA,41000,Grass                    ,1,1980
2012,4.66E+14,Nevada                                            ,Mountain West Conference                                                   ,466,1,14,107,California                                        ,Pac-12/Pac-10 Conference                                                   ,0,7,ATEAM     ,27,14,132,132,30,30,77,77,145,145,15,22,3,12,2,0,10,0,7,7,B,1,9/1/2012,12,Memorial Stadium                                                           ,TEAM           ,Berkeley                                                                   ,CA,63000,Sportexe Momentum        ,0,1923
2013,4.66E+14,UCLA                                              ,Pac-12/Pac-10 Conference                                                   ,110,1,17,466,Nevada                                            ,Mountain West Conference                                                   ,0,13,ATEAM     ,21,30,171,171,137,137,108,108,106,106,17,17,7,5,4,4,15,33,4,4,A,0,8/31/2013,15,Rose Bowl                                                                  ,TEAM           ,Pasadena                                                                   ,CA,91136,Grass                    ,1,1922
2009,4.66E+14,Nevada                                            ,Mountain West Conference                                                   ,466,0,0,156,Colorado State                                    ,Mountain West Conference                                                   ,1,14,BTEAM     ,16,19,92,92,37,37,37,37,72,72,9,13,2,7,1,7,0,45,-14,14,B,1,9/19/2009,23,Hughes Stadium                                                             ,TEAM           ,Fort Collins                                                               ,CO,30000,FieldTurf                ,0,1963
2013,4.66E+14,Colorado State                                    ,Mountain West Conference                                                   ,156,1,6,466,Nevada                                            ,Mountain West Conference                                                   ,0,7,BTEAM     ,15,19,51,51,49,49,108,108,83,83,18,17,5,5,0,1,0,6,-1,1,A,0,11/9/2013,23,Hughes Stadium                                                             ,TEAM           ,Fort Collins                                                               ,CO,30000,FieldTurf                ,0,1963
2013,4.66E+14,Florida State                                     ,Atlantic Coast Conference                                                  ,234,1,17,466,Nevada                                            ,Mountain West Conference                                                   ,0,7,ATEAM     ,14,22,76,76,18,18,208,208,34,34,13,9,2,3,3,5,25,35,10,10,A,0,9/14/2013,33,Doak Campbell Stadium                                                      ,TEAM           ,Tallahassee                                                                ,FL,80000,Grass                    ,1,1950
2008,4.66E+14,Hawai'i                                           ,Mountain West Conference                                                   ,277,1,14,466,Nevada                                            ,Mountain West Conference                                                   ,0,10,ATEAM     ,10,28,-1,-1,217,217,60,60,55,55,12,14,6,8,5,0,36,0,4,4,A,0,10/25/2008,39,Aloha Stadium                                                              ,TEAM           ,Honolulu                                                                   ,HI,50000,FieldTurf                ,0,1975
2008,4.66E+14,Nevada                                            ,Mountain West Conference                                                   ,466,1,7,366,Louisiana Tech                                    ,Conference USA                                                             ,0,17,BTEAM     ,21,17,-28,-28,124,124,103,103,162,162,16,18,8,7,2,4,20,25,-10,10,B,1,11/29/2008,59,Joe Aillet Stadium                                                         ,TEAM           ,Ruston                                                                     ,LA,30000,FieldTurf                ,0,1968
2010,4.66E+14,Nevada                                            ,Mountain West Conference                                                   ,466,1,14,366,Louisiana Tech                                    ,Conference USA                                                             ,0,14,TIED      ,25,19,108,108,69,69,110,110,118,118,11,13,2,5,2,3,15,35,0,0,B,1,12/4/2010,59,Joe Aillet Stadium                                                         ,TEAM           ,Ruston                                                                     ,LA,30000,FieldTurf                ,0,1968
2008,4.66E+14,Nevada                                            ,Mountain West Conference                                                   ,466,1,28,465,UNLV                                              ,Mountain West Conference                                                   ,0,20,ATEAM     ,22,16,191,191,77,77,127,127,192,192,8,20,2,9,4,5,25,30,8,8,B,1,9/27/2008,89,Sam Boyd Stadium                                                           ,TEAM           ,Las Vegas                                                                  ,NV,36800,TurfTech                 ,0,1971
2010,4.66E+14,Nevada                                            ,Mountain West Conference                                                   ,466,1,28,465,UNLV                                              ,Mountain West Conference                                                   ,0,14,ATEAM     ,25,19,148,148,46,46,67,67,96,96,8,11,0,3,4,1,10,5,14,14,B,1,10/13/2012,89,Sam Boyd Stadium                                                           ,TEAM           ,Las Vegas                                                                  ,NV,36800,TurfTech                 ,0,1971
2011,4.66E+14,Nevada                                            ,Mountain West Conference                                                   ,466,1,20,472,New Mexico State                                  ,Independent                                                                ,0,27,BTEAM     ,22,19,158,158,-14,-14,71,71,319,319,16,27,6,13,5,5,32,28,-7,7,B,1,11/21/2009,88,Aggie Stadium                                                              ,TEAM           ,Las Cruces                                                                 ,NM,40000,Grass                    ,1,1978
2012,4.66E+14,Nevada                                            ,Mountain West Conference                                                   ,466,1,14,465,UNLV                                              ,Mountain West Conference                                                   ,0,28,BTEAM     ,23,24,55,55,163,163,62,62,150,150,8,22,2,9,1,1,5,15,-14,14,B,1,10/29/2011,88,Aggie Stadium                                                              ,TEAM           ,Las Cruces                                                                 ,NM,40000,Grass                    ,1,1978
2012,4.66E+14,Nevada                                            ,Mountain West Conference                                                   ,466,1,21,473,New Mexico                                        ,Mountain West Conference                                                   ,0,17,ATEAM     ,22,30,123,123,195,195,55,55,0,0,14,2,6,2,0,4,0,20,4,4,B,1,11/17/2012,87,University Stadium                                                         ,TEAM           ,Albuquerque                                                                ,NM,40000,Grass                    ,1,1960
2011,4.66E+14,Nevada                                            ,Mountain West Conference                                                   ,466,1,14,630,San Jose State                                    ,Mountain West Conference                                                   ,0,7,ATEAM     ,39,8,99,99,43,43,4,4,5,5,9,9,1,7,1,2,15,20,7,7,B,1,11/8/2009,18,Spartan Stadium                                                            ,TEAM           ,San Jose                                                                   ,CA,30000,Grass                    ,1,1933
2013,4.66E+14,Nevada                                            ,Mountain West Conference                                                   ,466,0,17,626,San Diego State                                   ,Mountain West Conference                                                   ,1,23,BTEAM     ,29,17,105,105,60,60,114,114,177,177,17,17,4,6,3,4,20,22,-6,6,B,1,9/17/2011,18,Spartan Stadium                                                            ,TEAM           ,San Jose                                                                   ,CA,30000,Grass                    ,1,1933
2011,4.66E+14,Southern Mississippi                              ,Conference USA                                                             ,664,1,17,466,Nevada                                            ,Mountain West Conference                                                   ,0,14,ATEAM     ,17,27,50,50,186,186,56,56,-24,-24,20,15,12,7,2,7,7,30,3,3,A,0,12/24/2011,39,Aloha Stadium                                                              ,NEUTRAL        ,Honolulu                                                                   ,HI,50000,FieldTurf                ,0,1975
2012,4.66E+14,Texas State                                       ,Sun Belt Conference                                                        ,670,0,21,466,Nevada                                            ,Mountain West Conference                                                   ,1,20,ATEAM     ,16,25,17,17,147,147,140,140,155,155,16,16,3,6,2,5,11,45,1,1,A,0,9/29/2012,131,Bobcat Stadium                                                             ,TEAM           ,San Marcos                                                                 ,TX,30000,FieldTurf                ,0,1981
2011,4.66E+14,Nevada                                            ,Mountain West Conference                                                   ,466,0,14,700,Texas Tech                                        ,Big 12 Conference                                                          ,1,7,ATEAM     ,25,13,169,169,46,46,124,124,136,136,10,26,2,9,4,1,25,5,7,7,B,1,9/24/2011,129,Jones SBC Stadium                                                          ,TEAM           ,Lubbock                                                                    ,TX,50000,FieldTurf                ,0,1947
2012,4.66E+14,Nevada                                            ,Mountain West Conference                                                   ,466,0,21,721,Air Force                                         ,Mountain West Conference                                                   ,1,31,BTEAM     ,22,38,79,79,285,285,143,143,117,117,16,6,6,1,1,0,15,0,-10,10,B,1,10/26/2012,21,Falcon Stadium                                                             ,TEAM           ,Colorado Springs                                                           ,CO,46692,FieldTurf                ,0,1962
2009,4.66E+14,Nevada                                            ,Mountain West Conference                                                   ,466,1,14,731,Utah State                                        ,Mountain West Conference                                                   ,0,21,BTEAM     ,19,19,117,117,44,44,143,143,202,202,16,23,8,10,2,4,15,30,-7,7,B,1,10/17/2009,133,Romney Stadium                                                             ,TEAM           ,Logan                                                                      ,UT,30257,SportsTurf               ,0,1968
2011,4.66E+14,Utah State                                        ,Mountain West Conference                                                   ,731,1,7,466,Nevada                                            ,Mountain West Conference                                                   ,0,10,BTEAM     ,15,24,56,56,130,130,75,75,147,147,7,18,3,3,3,2,25,20,-3,3,A,0,11/26/2011,133,Romney Stadium                                                             ,TEAM           ,Logan                                                                      ,UT,30257,SportsTurf               ,0,1968
2009,4.69E+14,Ball State                                        ,Mid-American Conference                                                    ,47,0,6,469,New Hampshire                                     ,Colonial                                                                   ,1,16,BTEAM     ,13,22,32,32,81,81,16,16,153,153,10,24,7,9,4,0,41,0,-10,10,A,0,9/12/2009,48,Scheumann Stadium                                                          ,TEAM           ,Munice                                                                     ,IN,22500,FieldTurf                ,0,1967
2010,4.69E+14,Pittsburgh                                        ,Atlantic Coast Conference                                                  ,545,1,17,469,New Hampshire                                     ,Colonial                                                                   ,0,3,ATEAM     ,17,14,33,33,10,10,114,114,172,172,19,19,8,8,3,3,24,15,14,14,A,0,9/11/2010,110,Heinz Field                                                                ,TEAM           ,Pittsburgh                                                                 ,PA,64450,Grass                    ,1,2001
2008,4.69E+14,New Hampshire                                     ,Colonial                                                                   ,469,1,14,725,Army                                              ,Independent                                                                ,0,10,ATEAM     ,13,30,62,62,-22,-22,129,129,92,92,11,10,4,3,1,1,0,5,4,4,B,1,9/6/2008,93,Michie Stadium                                                             ,TEAM           ,West Point                                                                 ,NY,40000,AstroPlay                ,0,1924
2012,4.72E+14,Auburn                                            ,Southeastern Conference                                                    ,37,1,7,472,New Mexico State                                  ,Independent                                                                ,0,0,ATEAM     ,19,16,87,87,23,23,-4,-4,113,113,10,18,5,8,1,3,5,15,7,7,A,0,11/3/2012,1,Jordan-Hare Stadium                                                        ,TEAM           ,Auburn                                                                     ,AL,87451,Grass                    ,1,1939
2011,4.72E+14,BYU                                               ,Independent                                                                ,77,1,21,472,New Mexico State                                  ,Independent                                                                ,0,7,ATEAM     ,16,14,72,72,23,23,141,141,95,95,22,21,8,10,4,2,25,11,14,14,A,0,11/19/2011,134,LaVell Edwards Stadium                                                     ,TEAM           ,Provo                                                                      ,UT,65000,Grass                    ,1,1964
2008,4.72E+14,Fresno State                                      ,Mountain West Conference                                                   ,96,1,17,472,New Mexico State                                  ,Independent                                                                ,0,17,TIED      ,27,6,72,72,14,14,128,128,90,90,15,17,4,8,3,2,25,20,0,0,A,0,11/15/2008,13,Bulldog Stadium                                                            ,TEAM           ,Fresno                                                                     ,CA,41000,Grass                    ,1,1980
2011,4.72E+14,Hawai'i                                           ,Mountain West Conference                                                   ,277,1,27,472,New Mexico State                                  ,Independent                                                                ,0,14,ATEAM     ,15,19,81,81,36,36,123,123,163,163,19,21,6,11,3,0,23,0,13,13,A,0,10/22/2011,39,Aloha Stadium                                                              ,TEAM           ,Honolulu                                                                   ,HI,50000,FieldTurf                ,0,1975
2008,4.72E+14,Idaho                                             ,Independent                                                                ,295,1,14,472,New Mexico State                                  ,Independent                                                                ,0,14,TIED      ,26,11,194,194,16,16,15,15,88,88,12,22,6,2,0,3,0,10,0,0,A,0,10/25/2008,43,Kibbie Dome                                                                ,TEAM           ,Moscow                                                                     ,ID,15820,AstroTurf                ,0,1975
2012,4.72E+14,New Mexico State                                  ,Independent                                                                ,472,0,10,295,Idaho                                             ,Independent                                                                ,1,17,BTEAM     ,16,13,92,92,-37,-37,109,109,259,259,15,29,5,11,4,5,42,35,-7,7,B,1,10/6/2012,43,Kibbie Dome                                                                ,TEAM           ,Moscow                                                                     ,ID,15820,AstroTurf                ,0,1975
2010,4.72E+14,Kansas                                            ,Big 12 Conference                                                          ,328,1,21,472,New Mexico State                                  ,Independent                                                                ,0,7,ATEAM     ,14,27,63,63,98,98,46,46,19,19,13,9,4,5,2,3,20,15,14,14,A,0,9/25/2010,51,Memorial Stadium                                                           ,TEAM           ,Lawrence                                                                   ,KS,50250,AstroPlay                ,0,1921
2011,4.72E+14,Minnesota                                         ,Big Ten Conference                                                         ,428,0,14,472,New Mexico State                                  ,Independent                                                                ,1,21,BTEAM     ,15,15,59,59,46,46,78,78,232,232,19,17,7,3,3,2,17,10,-7,7,A,0,9/10/2011,153,TCF Bank Stadium                                                           ,TEAM           ,Minneapolis                                                                ,MN,50805,FieldTurf                ,0,2009
2008,4.72E+14,New Mexico State                                  ,Independent                                                                ,472,1,21,466,Nevada                                            ,Mountain West Conference                                                   ,0,24,BTEAM     ,15,24,38,38,153,153,239,239,82,82,27,11,14,5,1,4,8,25,-3,3,B,1,10/11/2008,90,Mackay Stadium                                                             ,TEAM           ,Reno                                                                       ,NV,31000,FieldTurf                ,0,1966
2009,4.72E+14,New Mexico                                        ,Mountain West Conference                                                   ,473,0,14,472,New Mexico State                                  ,Independent                                                                ,1,13,ATEAM     ,13,27,129,129,66,66,83,83,59,59,8,16,1,6,2,2,15,13,1,1,B,1,11/20/2010,90,Mackay Stadium                                                             ,TEAM           ,Reno                                                                       ,NV,31000,FieldTurf                ,0,1966
2012,4.72E+14,Ohio                                              ,Mid-American Conference                                                    ,519,1,21,472,New Mexico State                                  ,Independent                                                                ,0,14,ATEAM     ,26,18,132,132,50,50,162,162,118,118,13,14,3,7,1,2,5,16,7,7,A,0,9/8/2012,95,Peden Stadium                                                              ,TEAM           ,Athens                                                                     ,OH,24000,FieldTurf                ,0,1929
2009,4.72E+14,New Mexico State                                  ,Independent                                                                ,472,0,7,626,San Diego State                                   ,Mountain West Conference                                                   ,1,10,BTEAM     ,23,14,132,132,42,42,47,47,49,49,13,18,4,13,2,3,20,11,-3,3,B,1,10/3/2009,16,Qualcomm Stadium                                                           ,TEAM           ,San Diego                                                                  ,CA,71294,Grass                    ,1,1967
2009,4.72E+14,San Jose State                                    ,Mountain West Conference                                                   ,630,1,10,472,New Mexico State                                  ,Independent                                                                ,0,7,ATEAM     ,19,20,43,43,114,114,61,61,50,50,15,4,5,0,3,0,10,0,3,3,A,0,11/28/2009,18,Spartan Stadium                                                            ,TEAM           ,San Jose                                                                   ,CA,30000,Grass                    ,1,1933
2011,4.72E+14,San Jose State                                    ,Mountain West Conference                                                   ,630,1,10,472,New Mexico State                                  ,Independent                                                                ,0,10,TIED      ,17,16,129,129,49,49,91,91,137,137,24,11,10,5,3,1,25,5,0,0,A,0,9/24/2011,18,Spartan Stadium                                                            ,TEAM           ,San Jose                                                                   ,CA,30000,Grass                    ,1,1933
2013,4.72E+14,Louisiana-Lafayette                               ,Sun Belt Conference                                                        ,671,1,14,472,New Mexico State                                  ,Independent                                                                ,0,28,BTEAM     ,15,21,51,51,67,67,117,117,239,239,10,15,2,3,1,1,15,10,-14,14,A,0,11/2/2013,56,Cajun Field                                                                ,TEAM           ,Lafayette                                                                  ,LA,31000,Grass                    ,1,1971
2008,4.72E+14,UTEP                                              ,Conference USA                                                             ,704,0,20,472,New Mexico State                                  ,Independent                                                                ,1,21,BTEAM     ,16,13,130,130,36,36,2,2,246,246,14,25,9,5,6,1,35,5,-1,1,B,1,8/31/2013,119,Royal Memorial Stadium                                                     ,TEAM           ,Austin                                                                     ,TX,94113,FieldTurf                ,0,1924
2010,4.72E+14,New Mexico State                                  ,Independent                                                                ,472,0,10,704,UTEP                                              ,Conference USA                                                             ,1,21,BTEAM     ,10,16,28,28,89,89,133,133,108,108,20,19,7,8,4,3,35,25,-11,11,B,1,9/20/2008,124,Sun Bowl                                                                   ,TEAM           ,El Paso                                                                    ,TX,50426,AstroPlay                ,0,1963
2013,4.72E+14,Texas                                             ,Big 12 Conference                                                          ,703,1,14,472,New Mexico State                                  ,Independent                                                                ,0,7,ATEAM     ,12,26,59,59,-5,-5,47,47,102,102,17,20,3,3,2,1,10,5,7,7,B,1,9/15/2012,124,Sun Bowl                                                                   ,TEAM           ,El Paso                                                                    ,TX,50426,AstroPlay                ,0,1963
2010,4.72E+14,Utah State                                        ,Mountain West Conference                                                   ,731,1,10,472,New Mexico State                                  ,Independent                                                                ,0,17,BTEAM     ,14,26,89,89,140,140,110,110,79,79,13,15,5,7,0,1,0,10,-7,7,A,0,11/6/2010,133,Romney Stadium                                                             ,TEAM           ,Logan                                                                      ,UT,30257,SportsTurf               ,0,1968
