year,game_code,Your Team,a_name_conference,a_result,a_points,a_rush,a_offense_rush_yards,a_defense_rush_yards,a_offense_pass_yards,a_defense_pass_yards,a_pass,a_incomplete_pass,a_penalty,a_penalty_yards,visit_date,stadium_name,city,state,capacity,surface,surfaceint,year_opened
2010,1.64E+14,Connecticut                                       ,Big East Conference/American Athletic                                      ,0,6,24,156,28,89,136,18,11,2,15,9/6/2008,Lincoln Financial Field                                                    ,Philadelphia                                                               ,PA,66000,Grass                    ,1,2003
2010,3.92E+14,Miami (Florida)                                   ,Atlantic Coast Conference                                                  ,1,15,27,128,60,207,90,12,4,2,5,9/6/2008,Floyd Stadium                                                              ,Murfreesboro                                                               ,TN,30788,AstroTurf                ,0,1998
2010,4.65E+14,Utah                                              ,Pac-12/Pac-10 Conference                                                   ,1,17,14,32,47,90,105,9,3,3,15,9/6/2008,Rice Eccles Stadium                                                        ,Salt Lake City                                                             ,UT,45017,FieldTurf                ,0,1927
2010,6.76E+14,Texas A&M                                         ,Southeastern Conference                                                    ,1,20,28,114,9,163,188,21,8,4,15,9/6/2008,Amon Carter Stadium                                                        ,Fort Worth                                                                 ,TX,46000,Grass                    ,1,1929
2010,2.29E+14,Middle Tennessee                                  ,Conference USA                                                             ,1,14,18,91,26,141,130,9,0,1,5,9/13/2008,Spartan Stadium                                                            ,East Lansing                                                               ,MI,73000,Grass                    ,1,1923
2010,4.72E+14,New Mexico State                                  ,Independent                                                                ,0,10,10,28,89,133,108,20,7,4,35,9/20/2008,Sun Bowl                                                                   ,El Paso                                                                    ,TX,50426,AstroPlay                ,0,1963
2010,5.09E+14,Indiana                                           ,Big Ten Conference                                                         ,0,10,12,38,59,149,118,32,12,5,46,9/27/2008,Kinnick Stadium                                                            ,Iowa City                                                                  ,IA,70000,FieldTurf                ,0,1929
2010,5.29E+14,Washington State                                  ,Pac-12/Pac-10 Conference                                                   ,0,17,16,54,103,112,186,20,9,2,15,9/27/2008,Martin Stadium                                                             ,Pullman                                                                    ,WA,40000,FieldTurf                ,0,1972
2010,5.59E+14,Northwestern                                      ,Big Ten Conference                                                         ,0,10,23,43,117,156,-23,21,8,2,10,9/27/2008,Notre Dame Stadium                                                         ,South Bend                                                                 ,IN,80795,Grass                    ,1,1930
2010,3.01E+14,Illinois                                          ,Big Ten Conference                                                         ,0,6,24,81,-18,33,73,13,6,4,43,10/4/2008,Michigan Stadium                                                           ,Ann Arbor                                                                  ,MI,107501,FieldTurf                ,0,1927
2010,6.71E+14,Louisiana-Lafayette                               ,Sun Belt Conference                                                        ,1,10,9,29,117,131,-21,16,10,2,25,10/4/2008,Malone Stadium                                                             ,Monroe                                                                     ,LA,30427,ProPlay                  ,0,1978
2010,7.26E+14,Air Force                                         ,Mountain West Conference                                                   ,1,7,21,166,150,45,46,4,1,1,5,10/4/2008,Falcon Stadium                                                             ,Colorado Springs                                                           ,CO,46692,FieldTurf                ,0,1962
2010,1.47E+14,Wake Forest                                       ,Atlantic Coast Conference                                                  ,0,0,19,17,22,31,171,8,5,0,0,10/9/2008,Groves Stadium                                                             ,Winston Salem                                                              ,NC,31500,FieldTurf                ,0,1968
